,CNTY,SR,SEG,LENGTH,lnlength,total_crash,fatal,injury,pdo,WIDTH,LANES,SPEED,DIVISOR,L_S_PAVE,L_S_TOTL,R_S_PAVE,R_S_TOTL,Dir,U_R_CODE,SURFACE,DIST,ACC_CTRL,CO,CTL,lane_width,divwidth,divwidth_1p,divwidth_2l,divwidth_4l,divwidth_6l,divwidth_8l,divwidth_10l,divwidth_12l,barrier3,parking_lane,parking_lane_2,AADT,K,T
14,1,30,460,2574.0,-0.718464971,1.7692307692307692,0.0,0.46153846153846156,1.3076923076923077,40.0,2.0,35.0,0.0,0.0,0.0,0.0,0.0,,2.0,62.0,8.0,3.0,1.0,0.0,20.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,15212.692307692309,8.0,6.857142857142857
15,1,30,462,414.0,-2.545815468,7.769230769230769,0.15384615384615385,4.6923076923076925,2.923076923076923,40.0,2.0,35.0,2.0,0.0,0.0,0.0,0.0,,2.0,62.0,8.0,3.0,1.0,0.0,20.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10323.846153846154,8.285714285714286,6.0
16,1,30,463,408.0,-2.560414314,6.0,0.15384615384615385,3.0,2.8461538461538463,40.0,2.0,25.0,2.0,0.0,0.0,0.0,0.0,,2.0,62.0,8.0,3.0,1.0,0.0,20.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,10323.846153846154,8.285714285714286,6.0
17,1,30,464,299.0,-2.871237755,6.384615384615385,0.0,3.076923076923077,3.3076923076923075,40.0,2.0,35.0,0.0,0.0,0.0,0.0,0.0,,2.0,62.0,8.0,3.0,1.0,0.0,20.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,15850.923076923076,8.285714285714286,6.0
18,1,30,470,1756.0,-1.100887656,1.3846153846153846,0.07692307692307693,0.8461538461538461,0.46153846153846156,40.0,2.0,35.0,0.0,0.0,0.0,0.0,0.0,,2.0,62.0,8.0,3.0,1.0,0.0,20.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,15588.384615384615,9.428571428571429,7.142857142857143
19,1,30,480,2887.0,-0.603708208,3.8461538461538463,0.07692307692307693,1.6923076923076923,2.076923076923077,30.0,2.0,35.0,0.0,10.0,10.0,10.0,10.0,,2.0,62.0,8.0,3.0,1.0,1.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15588.384615384615,9.428571428571429,7.142857142857143
20,1,30,490,2385.0,-0.794726968,5.0,0.2,2.6,2.2,30.0,2.0,50.0,0.0,10.0,10.0,10.0,10.0,,2.0,62.0,8.0,3.0,1.0,1.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15284.6,11.0,6.0
21,1,30,500,1811.0,-1.070046902,4.2,0.0,1.6,2.6,30.0,2.0,50.0,0.0,10.0,10.0,10.0,10.0,,2.0,62.0,8.0,3.0,1.0,1.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,12912.4,11.0,7.0
22,1,30,510,3456.0,-0.42381423700000004,4.8,0.0,2.4,2.4,30.0,2.0,50.0,0.0,10.0,10.0,10.0,10.0,,2.0,62.0,8.0,3.0,1.0,1.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,12912.4,11.0,7.0
23,1,30,520,2578.0,-0.71691221,12.2,0.2,6.0,6.0,30.0,2.0,55.0,0.0,10.0,10.0,10.0,10.0,,2.0,62.0,8.0,3.0,1.0,1.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,12912.4,11.0,7.0
