"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
2015105950,"99","8","200 HAHN ROAD","","PITTSBURGH","PA","15209","FIRST STUDENT INC","9999999999","999999","","","","","N","","","","","","N","","1","","11"
2016052138,"99","8","1234 MARKET","","PHILA","PA","19107","SEPTA","9999999999","999999","","","","","N","","","","","","N","","1","","10"
2015114614,"99","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","9999999999","999999","","","","","N","","","","","","N","","1","","11"
2015073498,"05","1","7615 LANCASTER AVE","","MYERSTOWN","PA","17067","DUTCH VALLEY TRANSPORTATION INC.","7179334191","080000","","","","","N","","","","","","N","","2","02348581","06"
2015130171,"04","4","851 COUNTY LINE RD.","","HUNTINGDON VALLEY","PA","19006","JAMES D. MORRISSEY INC","2153574760","073280","","","","","N","","","","","","N","","2","00001007","04"
2015076444,"05","1","3147 W. 169TH PLACE","","HAMMOND","IN","46323","UNITED PARCEL SERVICES","5188523423","000000","","","","","N","","","","","","N","","1","00021800","08"
2015020091,"05","1","1125 PATERSON PLANK ROA","","SECAUCUS","NJ","07094","PINNACLE FREIGHT LINES INC","9083528600","080000","","","","","N","","","","","000327907","N","","1","00710690","08"
2015024564,"05","2","20 EAST SIXTH STREET","","WAYNESBORO","PA","17268","D. L. GEORGE & SONS TRANS. INC.","7177654700","078520","","","","","N","","","","","000170772","N","","2","00191984","08"
2016000308,"01","1","2467 PARK AVENUE","","TIPTON","PA","16684","BALFURD LINEN","8146843710","025995","","","","","N","","","","","","N","","2","99999999","03"
2015102014,"99","9","801 S 29TH STREET","","HARRISBURG","PA","17111","VERIZON SERVICES CORP","9999999999","016500","","","","","N","","","","","","N","","2","","05"
2015102014,"99","9","4000 W 62ND ST","","INDIANAPOLIS","IN","46268","SYSCO LEASING LLC","9999999999","999999","","","","","N","","","","","","N","","1","","08"
2015071331,"02","8","1234 MARKET ST","","PHILA","PA","19107","SEPTA","2155803107","042530","","","","","N","","","","","","N","","2","","11"
2015006246,"05","1","100-110 W COLUMBIA ST","","SCHUYLKILL HAVEN","PA","17972","EVANS DELIVERY COMPANY INC.","9999999999","080000","","","","","N","","","","","","N","","1","00038111","08"
2015045706,"05","1","5865 NITTANY VALLEY DRI","","MILL HALL","PA","17751","STEVEN K. BIERLY TRUCKING","3152817254","080000","","","","","N","","","","","000457016","N","","1","00350687","08"
2015015805,"99","3","PO BOX 4208","","SPRINGFIELD","MO","65808","NEW PRIME INC","4178660001","080000","","","","","N","","","","","","N","","2","00003706","08"
2015053006,"03","1","431  PERRY ST.","","UNION CENTER","WI","53962","HEDING TRUCK SERVICE INC","8002368441","080000","","","","","N","","","","","","N","","1","00074368","08"
2015106698,"02","1","534 MAIN ST","","COBURN","PA","16832","MARTINS FEED MILL","9999999999","033000","","","","","N","","","","","","N","","1","","03"
2015015240,"02","3","6051 LEECHBURG RD","","LEECHBURG","PA","15656","AMSLER AUTOMOTIVE INC.","7248457319","","","","","","N","","","","","","N","","2","","03"
2015105056,"99","9","321 S MOUNTAIN BLVD","","MOUNTAIN TOP","PA","18707","WRIGHT TOWNSHIP","9999999999","017950","","","","","N","","","","","","N","","2","99999999","05"
2015061314,"02","8","200 HAHN ROAD","","PITTSBURGH","PA","15209","FIRST STUDENT","6102727671","","","","","","N","","","","","","N","","2","00354406","11"
2015037862,"03","8","2569 DARLINGTON ROAD","","BEAVER FALLS","PA","15010","MCCARTER TRANSIT INC","8003000707","","","","","","N","","","","","000117173","N","","2","","11"
2015005465,"01","8","136 MCKEAN VALLEY RD.","","SHOHOLA","PA","18458","G DAVIS INC.","5706857241","","","","","","N","","","","","000676994","N","A-00123656","2","01875497","11"
2015122199,"99","9","1184 SALEM PARK LN","","LAKE ARIEL","PA","18436","RA FISCHER & SONS","9999999999","999999","","","","","","","","","","","N","","2","","05"
2015132289,"05","1","202 HERITAGE PARK DRIVE","","MURFREESBORO","TN","37129","FIRSTFLEET INC","6158909229","080000","","","","","","","","","","","N","","2","00313891","06"
2015068009,"05","1","22  WEST LEXTON RD","","NEW CASTLE","DE","19720","M&K TRUCKING AND LOGISTICS","4439851417","080000","","","","","N","","","","","000780665","N","","1","02275638","08"
2015087099,"99","1","5 SOUTH VINE ST","","BARRE","VT","05641","AIME BELLAVANCE & SONS INC","9999999999","080000","","","","","N","","","","","000999999","N","","1","99999999","08"
2015041485,"05","1","715 WEST 172ND ST","","SOUTH HOLLAND","IL","60473","EAGLE EXPRESS LINES INC","7083338400","080000","","","","","N","","","","","","N","","2","00649914","08"
2015015701,"05","7","1223 PARKS RD","","IRVONA","PA","16656","LJF INC","8146725151","080000","","","","","N","","","","","","N","","1","00478032","08"
2015045983,"03","4","608 SOUTHERN DRIVE","","WEST CHESTER","PA","19380","LEW AMOS","6102463701","058400","","","","","N","","","","","","N","","1","00364056","04"
2015107538,"03","2","300 PARKHILL DR","","CONEMAUGH","PA","15909","YANKO BROTHERS TRUCKING","8145355506","080000","","","","","N","","","","","","N","","2","00581762","08"
2015012761,"02","1","120 WEBSTER RD","","NEW KENSINGTON","PA","15068","HILLAND FARMS","7243393600","030000","","","","","N","","","","","","N","","1","00342817","09"
2015047074,"05","3","777 DEGOL INDUSTRIL DR","","HOLIDAYSBURG","PA","16648","SEVEN D TRUSS","8143174077","080000","","","","","N","","","","","","N","","1","00154038","08"
2015023388,"05","1","24862 ELLIOTT ROAD","","DEFIANCE","MI","43512","THOMAS E KELLER TRUCKING INC","3132999175","080000","","","","","N","","","","","","N","","2","00119521","08"
2015100785,"05","1","1701 TOWANDA AVENUE","","BLOOMINGTON","IL","61701","GROWMARK","3095576000","080000","","","","","N","","","","","","N","","2","01072275","08"
2015105203,"02","8","119 BUS LN","","PUNXUTAWNEY","PA","15767","STUDENT TRANSPORT","7243680276","018500","","","","","N","","","","","","N","","1","00000999","11"
2015112314,"02","8","120 SPRINGTON ROAD","","GLENMOORE","PA","19343","KRAPF BUS COMPANY","6109422924","","","","","","N","","","","","","N","","2","00256859","11"
2015009151,"02","9","500 NORTH POPLAR STREET","","BERWICK","PA","18603","HELLER' GAS COMPANY","7174362388","033000","3","","","","Y","1","","","","","N","","1","01118626","09"
2015018014,"05","2","3250 HEMPLAND ROAD","","LANCASTER","PA","17601","AIR PRODUCTS AND CHEMICALS","7173931062","080000","","","","","N","","","","","","N","","2","00101263","08"
